# Edge events for shell 97.5бу
# start_epoch, end_epoch, satellite_i, satellite_j
0 120 113 663
21 23 22 279
115 117 22 279
0 120 214 220
55 55 15 914
0 120 827 829
0 120 266 267
0 120 557 559
61 61 21 27
0 120 754 844
0 120 320 323
0 120 892 894
0 120 163 376
0 120 531 543
0 120 778 792
45 47 27 515
53 56 11 507
0 120 90 800
15 17 13 437
109 111 13 437
0 120 25 262
0 120 615 621
0 120 526 958
118 118 4 504
0 120 177 395
0 120 864 953
0 120 624 626
0 120 776 840
0 120 616 622
42 44 33 158
0 120 74 159
0 120 327 339
0 120 178 396
57 57 15 747
0 120 398 399
82 84 15 518
70 71 18 523
10 11 4 625
104 105 4 625
0 120 89 812
0 120 726 1024
0 120 349 1037
0 120 536 863
0 120 434 443
0 120 453 456
0 120 1025 1027
0 120 871 969
0 120 158 395
0 120 905 967
34 37 42 220
0 120 192 802
54 54 32 584
0 120 160 175
0 120 272 273
0 120 519 522
0 120 909 973
64 65 42 979
0 120 147 241
0 120 873 907
0 120 803 811
0 120 847 854
0 120 764 856
0 120 463 748
0 120 547 863
0 120 500 522
0 120 227 1001
0 32 15 593
35 36 15 593
39 39 15 593
66 85 15 593
88 120 15 593
86 87 6 773
0 120 282 299
0 120 326 342
91 92 6 135
54 56 27 603
0 120 415 419
3 6 32 309
97 100 32 309
36 50 29 649
53 64 29 649
0 120 752 864
0 120 636 1061
23 24 29 240
117 118 29 240
0 120 171 998
6 9 18 490
100 103 18 490
0 120 408 416
39 39 27 953
0 120 762 764
0 120 346 706
0 120 112 130
0 120 763 765
9 12 1 33
102 106 1 33
0 120 224 307
0 120 0 828
0 120 624 835
0 120 102 201
41 44 32 551
52 52 32 551
56 56 32 551
58 73 32 551
76 76 32 551
85 88 27 207
0 120 786 833
0 120 268 269
0 120 31 671
18 19 6 498
112 113 6 498
0 120 633 776
27 31 42 308
50 52 23 29
0 120 122 565
0 120 246 717
20 22 18 444
114 116 18 444
0 120 97 737
0 120 825 1067
0 120 0 841
0 120 200 1015
0 120 333 721
61 65 11 441
0 120 887 898
31 36 21 491
29 31 6 511
0 120 134 139
0 120 172 394
78 79 4 29
0 120 77 162
0 120 80 167
0 120 662 672
0 120 769 771
82 85 29 207
0 120 854 958
55 55 23 801
0 120 746 1016
0 120 130 555
0 120 72 168
1 4 22 576
41 85 22 576
87 89 22 576
91 93 22 576
95 96 22 576
0 120 107 800
37 37 32 1035
20 22 27 282
113 116 27 282
0 3 33 213
93 97 33 213
0 120 678 917
0 120 492 498
42 46 29 737
1 6 21 504
94 100 21 504
0 120 76 174
0 120 347 903
0 120 719 1034
56 59 4 271
0 120 0 795
54 54 13 914
0 120 627 1073
0 120 762 852
0 120 673 923
0 120 566 568
0 3 2 346
95 97 2 346
67 69 29 220
0 120 259 273
0 120 113 564
0 120 869 956
0 120 82 985
0 120 38 570
0 120 602 612
50 51 13 397
0 120 328 1046
0 120 469 756
30 31 29 341
0 120 175 395
4 5 2 58
98 99 2 58
51 53 42 396
0 120 145 1046
56 56 13 747
81 82 13 518
0 120 87 812
0 120 235 710
0 120 86 996
0 120 277 298
0 120 170 172
0 120 149 1052
0 120 688 921
60 60 6 478
